concept,dimension,member,observations,companies,company_periods
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,RestatedAmount,94523,39307,94495
TotalAssetsLessCurrentLiabilities,GroupCompanyDataDimension,Consolidated,14324,4311,11584
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,TotalUnrestrictedFunds,8396,2639,8392
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,TotalRestrictedIncomeFunds,8286,2534,8282
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,IncreaseDecreaseDueToTransitionFromPreviousStandard,3262,1882,3258
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,PreviouslyStatedAmount,1017,642,1012
TotalAssetsLessCurrentLiabilities,RestatementsDimension,RestatedAmount,336,324,335
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,TotalEndowmentFunds,219,75,219
TotalAssetsLessCurrentLiabilities,ContinuingDiscontinuedOperationsDimension,ContinuingOperations,121,19,80
TotalAssetsLessCurrentLiabilities,GroupCompanyDimension,Consolidated,95,38,86
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,PriorPeriodIncreaseDecrease,16,11,16
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,AccountingPolicyChangeIncreaseDecrease,9,5,9
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,CumulativeEffectDateInitialApplicationIncreaseDecrease,4,2,4
TotalAssetsLessCurrentLiabilities,RestatementsFirstTimeAdoptionDimension,PriorPeriodErrorIncreaseDecrease,4,2,4
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,EndowmentFundsExpendable,2,1,2
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,RestrictedIncomeFunds,2,1,2
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,UnrestrictedFundsGeneral,2,1,2
TotalAssetsLessCurrentLiabilities,CharityFundsDimension,UnrestrictedFundsDesignated,2,1,2
TotalAssetsLessCurrentLiabilities,ProductsServicesDimension,OtherProductsServices,1,1,1
TotalAssetsLessCurrentLiabilities,OriginalRevisedDataDimension,Revised,1,1,1
TotalAssetsLessCurrentLiabilities,ContinuingDiscontinuedOperationsDimension,SpecificDiscontinuedOperation4,1,1,1
TotalAssetsLessCurrentLiabilities,ContinuingDiscontinuedOperationsDimension,SpecificDiscontinuedOperation3,1,1,1
