concept,observations,companies,kind,units,context_kind,pct_numeric_null,example_values
FinishedGoodsGoodsForResale,30,16,numeric,GBP,instant,3.33,"[""39,500"",""6,800"",""247,549""]"
OperatingProfitLoss,29,16,numeric,GBP,duration,0.00,"[""602,809"",""1,345,634"",""17,696""]"
BorrowingsPolicy,28,28,non_numeric,,duration,100.00,"[""Interest-bearing borrowings are initially recorded at fair value, net of transaction costs. Interest-bearing borrowings…"",""Interest-bearing borrowings are initially recorded at fair value. Interest expense is recognised on the basis of the ef…""]"
DescriptionRecognitionBasisMeasurementIntangibleAssets,26,25,non_numeric,,duration,100.00,"[""Intangible assets are initially measured at cost. After initial recognition, intangible assets are measured at cost les…"",""Intangible assets acquired separately from a business are recognised at cost and are subsequently measured at cost less…"",""Intangible assets are initially measured at cost. After initial recognition, intangible assets aremeasured at cost less…""]"
AccountantsReportOnFinancialStatements,25,25,non_numeric,,duration,100.00,"[""This report is made solely to the"",""It is your duty to ensure that Michele Cranstone Limited has kept adequate accounting records and to prepare statutory …"",""In order to assist you to fulfil your duties under the Companies Act 2006 as applied to limited liability partnerships …""]"
CreditorsFree-textComment,25,19,non_numeric,,duration,100.00,"[""Directors' loan accounts are interest-free and repayable on demand."",""Repayable by instalmentsBank loan more than five years £1,333 (2020: £25,558)Secured debtsSecured debts included within…"",""Bank loans are secured by a fixed and floating charge over all of the company's assets.""]"
ImpairmentFinancialAssetsPolicy,25,25,non_numeric,,duration,100.00,"[""Financial assets, other than those"",""Financial assets, other than those held at fair value through profit and loss, are assesed for indicatiors of impairmen…"",""""]"
WorkInProgress,25,13,numeric,GBP,instant,12.00,"[""275,056"",""180,260"",""30,000""]"
CostSales,24,13,numeric,GBP,duration,0.00,"[""5,153,413"",""4,499,511"",""1,232,707""]"
LessorOperatingLeasePolicy,24,24,non_numeric,,duration,100.00,"[""Rentals payable under operating leases,"",""Lease payments are recognised as an expense over the lease term on a straight-line basis. The aggregate benefit of leas…"",""Rental income from operating leases is credited to profit or loss on a straight line basis over the lease term.""]"
Provisions,24,11,numeric,GBP,instant,4.17,"[""890"",""2,432"",""1,733""]"
AmountsOwedByRelatedParties,23,12,numeric,GBP,instant,0.00,"[""3,290,790"",""2,933,819"",""1,252,037""]"
DescriptionNatureTransactionsBalancesWithRelatedParties,23,21,non_numeric,,duration,100.00,"[""loan amount is interest free and repayable on demand"",""A salary of £8,789 (2020 - £8,668) was paid to the director during the year. No dividends (2020 - £20,000) were paid to…"",""At the balance sheet date £2,208 (2020 £744) was due to Mr J A Lester and Mrs L P Lester, who are the directors and sha…""]"
InvestmentsInGroupUndertakings,23,7,numeric,GBP,instant,4.35,"[""35,351"",""16,642"",""-""]"
AmountsOwedByGroupUndertakings,22,12,numeric,GBP,instant,13.64,"[""2,493"",""2,287"",""25,391""]"
DeferredTaxLiabilities,22,8,numeric,GBP,instant,0.00,"[""1,733"",""2,432"",""11,679""]"
NameUltimateControllingPartyIfNotUltimateParent,22,22,non_numeric,,duration,100.00,"[""The company is ultimately controlled by its directors."",""Mrs J A Mason and D L Mason."",""A M C Gilbert.""]"
StatementOnScopeAccountantsReport,22,22,non_numeric,,duration,100.00,"[""In accordance with your instructions I have compiled these unaudited abridged financial statements in order to assist y…"",""This report is made solely to the director of Michele Cranstone Limited in accordance with our terms of engagement. Our…"",""It is your duty to ensure that Glanusk Events LLP""]"
PropertyPlantEquipmentFree-textComment,21,21,non_numeric,,duration,100.00,"["""",""Included within tangible fixed assets are assets under hire purchase agreements with a closing net book value of £3,001…"",""Freehold property with a deemed cost of £700,000 was reclassified from investment property to tangible fixed assets as …""]"
ReportIncludesListSubsidiariesTruefalse,21,21,non_numeric,,duration,100.00,"[""false"",""true""]"
InterestPayableSimilarChargesFinanceCosts,20,11,numeric,GBP,duration,0.00,"[""3,674"",""6,714"",""27,435""]"
AmountsOwedByDirectors,19,14,numeric,GBP,instant,0.00,"[""7,102"",""4,000"",""50""]"
DateAssumedPosition,19,11,non_numeric,,instant,100.00,"[""01/09/2009"",""28/02/2005"",""10/02/2004""]"
ReportIncludesStrategicReportTruefalse,19,19,non_numeric,,duration,100.00,"[""false"",""true""]"
StatementThatDirectorsReportHasBeenPreparedInAccordanceWithProvisionsSmallCompaniesRegime,19,19,non_numeric,,duration,100.00,"[""The above report has been prepared in accordance with the provisions applicable to companies subject to the small compa…"",""This report has been prepared in accordance with the special provisions relating to companies subject to the small comp…"",""This report has been prepared in accordance with the provisions applicable to companies entitled to the small companies…""]"
AccumulatedDepreciationNotIncludingImpairmentPropertyPlantEquipment,18,7,numeric,GBP,instant,16.67,"[""22,762"",""16,445"",""39,207""]"
EquitySecuritiesHeld,18,6,numeric,GBP,instant,11.11,"[""753"",""-"",""832""]"
NameEntityBankers,18,17,non_numeric,,duration,100.00,"[""Natwest Bank Plc"",""HSBC Bank"",""Tide""]"
NameParentEntity,18,18,non_numeric,,duration,100.00,"[""Harvey Camm Developments Limited"",""The company is controlled by the Directors."",""The company is controlled by the sole director by virtue of him owning the fully issued share capital.""]"
TotalAssets,18,10,numeric,GBP,instant,0.00,"[""2"",""164,924"",""150,378""]"
CurrentAssetInvestments,17,10,numeric,GBP,instant,0.00,"[""25,750"",""0"",""100,000""]"
GeneralDescriptionCriticalEstimatesJudgements,17,17,non_numeric,,duration,100.00,"[""Since the end of the year under review, the Covid-19 pandemic has become a significant emerging risk to the global econ…"",""In applying the Company's accounting policies, the directors are required to make judgements, estimates and assumptions…"",""In the application of the group’s accounting policies, the directors are required to make judgements, estimates and ass…""]"
IncreaseDecreaseInDepreciationImpairmentPropertyPlantEquipment,17,9,numeric,GBP,duration,0.00,"[""210"",""10,000"",""2,039""]"
JointVentureNotAccountedForUsingEquityMethodTruefalse,17,17,non_numeric,,duration,100.00,"[""true""]"
AbbreviatedAccountsAreInAccordanceWithSpecialProvisionsInSection4453CompaniesActRelatingToMedium-sizedCompaniesTruefalse,16,16,non_numeric,,duration,100.00,"[""false""]"
CurrentTaxForPeriod,16,8,numeric,GBP,duration,0.00,"[""32,724"",""33,558"",""6,687""]"
DescriptionNaturePurposeReservesWithinEquity,16,15,non_numeric,,duration,100.00,"[""Profit and loss account - This reserve records distributable retained earnings and accumulated losses."",""Revaluation reserve - reflects the revaluation of property other than investment properties."",""Profit and loss account - includes all current and prior period retained profits and losses.""]"
InvestmentsInGroupUndertakingsParticipatingInterests,16,8,numeric,GBP,instant,0.00,"[""52,154"",""53,344"",""630,102""]"
InvestmentsInSubsidiaries,16,6,numeric,GBP,instant,0.00,"[""0"",""450"",""2""]"
TotalAdditionsIncludingFromBusinessCombinationsIntangibleAssets,16,11,numeric,GBP,duration,18.75,"[""945"",""-"",""3,663""]"
TotalLiabilities,16,9,numeric,GBP,instant,0.00,"[""2"",""164,924"",""150,378""]"
AdditionsOtherThanThroughBusinessCombinationsInvestmentPropertyFairValueModel,15,15,numeric,GBP,duration,0.00,"[""777,409"",""428,420"",""58,790""]"
AmountsOwedToGroupUndertakingsParticipatingInterests,15,7,numeric,GBP,instant,6.67,"[""-"",""753"",""236,920""]"
DepreciationExpensePropertyPlantEquipment,15,8,numeric,GBP,duration,0.00,"[""114,659"",""75,386"",""162""]"
DividendsPaidOnShares,15,10,numeric,GBP,duration,0.00,"[""300,739"",""36,000"",""27,000""]"
DividendsPaidOnSharesInterim,15,3,numeric,GBP,duration,0.00,"[""6,000"",""16,000"",""11,794""]"
EmployeeInformationFree-textComment,15,15,non_numeric,,duration,100.00,"[""""]"
NameOrLocationAccountantsOffice,15,15,non_numeric,,duration,100.00,"[""10 Buko TowerSouthfieldGlenrothesFifeKY6 2SS"",""Cosmopolitan HouseOld Fore StreetSidmouthDevonEX10 8LS"",""75 Park LaneCroydonSurreyCR9 1XS""]"
NameSeniorStatutoryAuditor,15,15,non_numeric,,duration,100.00,"[""Nicholas Michael Auton (Senior Statutory Auditor)"",""Chris Neale (Senior Statutory Auditor)"",""Ian Bascombe FCA""]"
OpinionAuditorsOnEntity,15,15,non_numeric,,duration,100.00,"[""We have audited the financial statements of Power Health Products Limited (the 'company') for the year ended 30 April 2…"",""We have audited the financial statements of Panther Construction Products Limited (the 'company') for the year ended 31…"",""We have audited the financial statements of Willett & Son Holdings Limited (the 'parent company') and its subsidiaries …""]"
AmountsOwedToRelatedParties,14,7,numeric,GBP,instant,0.00,"[""62,040"",""2,980"",""57,824""]"
OtherInventories,14,8,numeric,GBP,instant,0.00,"[""34,680"",""5,468"",""16,900""]"
CalledUpShareCapitalNotPaid,13,7,numeric,GBP,instant,0.00,"[""0"",""100"",""10,000""]"
DebtorsFree-textComment,13,13,non_numeric,,duration,100.00,"[""Trade debtors disclosed above are measured at amortised cost."",""Included above is a loan of £500,000 that is unsecured. Interest on the loan is fixed at 5% per annum.Amounts owed by g…"",""""]"
DescriptionMethodsUsedToAccountForInvestmentsInSubsidiariesAssociatesJointVenturesInSeparateFinancialStatements,13,13,non_numeric,,duration,100.00,"[""Interests in subsidiaries, associates and jointly controlled entities are initially measured at cost and subsequently m…"",""Interests in subsidiaries, associates and jointly controlled entities are"",""Interests""]"
DividendPerShareInterim,13,5,numeric,pure,duration,0.00,"[""3,000"",""8,000"",""446""]"
AmountsOwedByGroupUndertakingsParticipatingInterests,12,6,numeric,GBP,instant,0.00,"[""74,250"",""0"",""24,100""]"
CompanyContributionsToMoneyPurchasePlansDirectors,12,6,numeric,GBP,duration,0.00,"[""2,124"",""18,476"",""22,491""]"
DescriptionMethodsUsedToAccountForInvestmentsInAssociatesInSeparateFinancialStatements,12,12,non_numeric,,duration,100.00,"[""An associate is an entity, being neither a subsidiary nor a joint venture, in which the company holds a long-term inter…"",""Investments in associates accounted for in accordance with the cost model are recorded at cost less any accumulated imp…"",""Investments in associate undertakings are recognised at cost.""]"
DescriptionMethodsUsedToAccountForInvestmentsInSubsidiariesInSeparateFinancialStatements,12,12,non_numeric,,duration,100.00,"[""A subsidiary is an entity controlled by the company"",""Investments in subsidiary undertakings are recognised at cost.""]"
IssueEquityInstruments,12,7,numeric,GBP,duration,0.00,"[""1"",""99"",""10""]"
LoansOwedByRelatedParties,12,2,numeric,GBP,instant,0.00,"[""9,794"",""730"",""9,381""]"
Merchandise,12,6,numeric,GBP,instant,0.00,"[""346,139"",""125,513"",""169,675""]"
OtherInterestReceivableSimilarIncomeFinanceIncome,12,7,numeric,GBP,duration,0.00,"[""3,510"",""5,278"",""210""]"
OtherOperatingIncomeFormat1,12,7,numeric,GBP,duration,0.00,"[""55,549"",""0"",""25,000""]"
DeferredTaxExpenseCreditRelatingToOriginationReversalTimingDifferences,11,6,numeric,GBP,duration,0.00,"[""66,243"",""170,124"",""24,378""]"
DescriptionMethodsUsedToAccountForInvestmentsInJointVenturesInSeparateFinancialStatements,11,11,non_numeric,,duration,100.00,"[""Entities in which the company has a long term interest and shares control under a contractual arrangement are classifie…"",""Investments in jointly controlled entities accounted for in accordance with the cost model are recorded at cost less an…""]"
InvestmentsInAssociates,11,2,numeric,GBP,instant,18.18,"[""50"",""-"",""1""]"
LoansOwedToRelatedParties,11,2,numeric,GBP,instant,0.00,"[""13,847"",""36,392"",""13,292""]"
BalancesAmountsOwedToRelatedParties,10,3,numeric,GBP,instant,0.00,"[""97,673"",""96,123"",""511,489""]"
CarryingAmountUnderCostModelRevaluedAssetsPropertyPlantEquipment,10,3,numeric,GBP,instant,0.00,"[""0"",""35,416"",""1,754,512""]"
DescriptionWhyEntityNotGoing-concernOrUncertaintiesOverGoing-concernStatus,10,10,non_numeric,,duration,100.00,"[""The LLP made a loss for the year. The LLP is dependent upon financial support from its related entities to enable it to…"",""The directors have not identified any material uncertainties related to events or conditions that may cast significant …"",""The directors have a reasonable expectation that the company has adequate resources to continue operational existence f…""]"
DirectorsReportConsistentWithAccountsTruefalse,10,10,non_numeric,,duration,100.00,"[""true""]"
EntityTradingName,10,10,non_numeric,,duration,100.00,"["""",""Jims Sparks Limited"",""Tafton Executive Ltd""]"
FinishedGoods,10,5,numeric,GBP,instant,30.00,"[""12,495"",""9,105"",""32,850""]"
GoingConcernCriticalEstimatesJudgements,10,9,non_numeric,,duration,100.00,"[""In preparing the financial statements, the directors are required to make an assessment of the ability of the company t…"",""As with most businesses the company has been impacted by the Coronavirus (Covid-19). Although the total impact is still…"",""In common with many other companies, our business has been detrimentally affected by the Covid-19 pandemic and the rest…""]"
IncomeExpenseRecognisedDirectlyInEquity,10,4,numeric,GBP,duration,0.00,"[""1"",""21,500"",""10""]"
NameSubsidiary,10,7,non_numeric,,duration,100.00,"[""Willett and Son (Bristol) Limited"",""DBPixelhouse LLC US"",""DB Pixelhouse B.V""]"
RawMaterialsConsumables,10,5,numeric,GBP,instant,10.00,"[""1,514,320"",""1,440,823"",""11,300""]"
TotalCurrentTaxExpenseCredit,10,5,numeric,GBP,duration,0.00,"[""32,724"",""21,699"",""15,965""]"
WagesSalaries,10,5,numeric,GBP,duration,0.00,"[""1,982,254"",""1,493,560"",""1,969,111""]"
NameOrDescriptionRelatedPartyIfNotDefinedByAnotherTag,9,9,non_numeric,,duration,100.00,"[""The directors, Mr and Mrs RG Jones, jointly received net loan repayments from the company during the year of £14,136. T…"",""Included in other creditors is a loan due to Mr and Mrs Goddard of £40,453 (2020 £23,918)."",""Companies in which directors have a controlling interest""]"
NetDeferredTaxLiabilityAsset,9,4,numeric,GBP,instant,0.00,"[""1,733"",""2,432"",""8,821""]"
CashCashEquivalentsCashFlowValue,8,3,numeric,GBP,instant,0.00,"[""1,653,503"",""1,547,135"",""1,469,226""]"
IntangibleAssetsFree-textComment,8,8,non_numeric,,duration,100.00,"["""",""Franchise Fees Paid"",""No trading took place within the period 17 Dec 2020 - 31 Dec 2021""]"
ProductionAverageNumberEmployees,8,4,numeric,pure,duration,0.00,"[""43"",""60"",""5""]"
ReportPrincipalLanguage,8,8,non_numeric,,duration,100.00,"[""""]"
SocialSecurityCosts,8,4,numeric,GBP,duration,0.00,"[""136,619"",""110,890"",""208,478""]"
TaxExpenseCreditApplicableTaxRate,8,4,numeric,GBP,duration,0.00,"[""114,503"",""255,398"",""201,948""]"
TotalIncreaseDecreaseFromRevaluationsPropertyPlantEquipment,8,6,numeric,GBP,duration,12.50,"[""0"",""273,935"",""-""]"
DeferredTaxAssetDebtors,7,4,numeric,GBP,instant,14.29,"[""184,442"",""208,820"",""-""]"
FinanceIncomeCostsPolicy,7,7,non_numeric,,duration,100.00,"[""Interest income is recognised when it is probable that the economic benefits will flow to the Company and the amount of…"",""Finance costs are charged to profit or loss over the term of the debt using the effective interest method so that the a…""]"
IncreaseDecreaseInNetDeferredTaxLiabilityFromAmountRecognisedInProfitOrLoss,7,5,numeric,GBP,duration,0.00,"[""2,807"",""69,978"",""135,520""]"
NumberSharesIssuedButNotFullyPaid,7,5,numeric,shares,instant,0.00,"[""1,000"",""100"",""1""]"
StatementOnQualityCompletenessInformationProvidedToAuditors,7,7,non_numeric,,duration,100.00,"[""So far as each person who was a director at the date of approving this report is aware, there is no relevant audit info…"",""Each Director has taken the steps that they ought to have taken as a Director in order to make themselves aware of any …"",""Each of the persons who are directors at the time when this Directors' Report is approved has confirmed that:""]"
AuditFeesExpenses,6,3,numeric,GBP,duration,0.00,"[""12,499"",""9,187"",""18,000""]"
BorrowingCostsPolicy,6,6,non_numeric,,duration,100.00,"[""All borrowing costs are recognised in profit or loss in the year in which they are incurred."",""Borrowing costs directly attributable to the acquisition, construction or production of qualifying assets, which are as…""]"
DescriptionFinancialCommitmentsOtherThanCapitalCommitments,6,6,non_numeric,,duration,100.00,"[""The company has no income or expenditure in its own right from which it derives economic benefit.Whilst certain contrac…"",""Rentals paid under operating leases are charged to profit or loss on a straight line basis over the period of the lease…"",""During the year the company took out a £5,000 Government secured bounce back loan. This loan will be repaid over a maxi…""]"
DescriptionNatureBusinessSubsidiary,6,5,non_numeric,,duration,100.00,"[""Merchanting of feedstuffs and fertilisers"",""Telephone and app bookmaker"",""Property Investment""]"
DisposalsInvestmentPropertyFairValueModel,6,6,numeric,GBP,duration,0.00,"[""399,534"",""207,500"",""72,000""]"
FinalDividendsPaid,6,3,numeric,GBP,duration,0.00,"[""45,000"",""35,000"",""62,799""]"
GainLossInCashFlowsFromChangeInCreditorsTradeOtherPayables,6,3,numeric,GBP,duration,0.00,"[""18,326"",""244,166"",""941,979""]"
GainLossInCashFlowsFromChangeInDebtorsTradeOtherReceivables,6,3,numeric,GBP,duration,0.00,"[""99,563"",""1,470,460"",""1,734,886""]"
GainLossOnDisposalsPropertyPlantEquipment,6,3,numeric,GBP,duration,0.00,"[""0"",""142,802"",""102,536""]"
IncreaseDecreaseInCurrentTaxFromAdjustmentForPriorPeriods,6,3,numeric,GBP,duration,0.00,"[""0"",""55,257"",""719""]"
IncreaseInLoansOwedByRelatedPartiesDueToLoansAdvanced,6,2,numeric,GBP,duration,0.00,"[""730"",""413"",""211,692""]"
NetCashFlowsFromUsedInOperatingActivities,6,3,numeric,GBP,duration,0.00,"[""555,135"",""2,828,756"",""1,452,589""]"
NetCashGeneratedFromOperations,6,3,numeric,GBP,duration,0.00,"[""570,921"",""3,057,469"",""1,505,689""]"
OtherIncreaseDecreaseInDepreciationImpairmentPropertyPlantEquipment,6,5,numeric,GBP,duration,16.67,"[""0"",""-"",""11,316""]"
PensionOtherPost-employmentBenefitCostsOtherPensionCosts,6,3,numeric,GBP,duration,0.00,"[""60,404"",""50,386"",""0""]"
PurchasePropertyPlantEquipment,6,3,numeric,GBP,duration,0.00,"[""742,922"",""3,071,220"",""5,990""]"
ResearchDevelopmentPolicy,6,6,non_numeric,,duration,100.00,"[""Expenditure on research and development is written off in the year it is incurred."",""Research expenditure is written off against profits in the year in which it is incurred. Identifiable development expen…"",""Research and development expenditure is recognised in the Profit and Loss Account in the period in which the expenditur…""]"
SORPsApplied,6,6,non_numeric,,duration,100.00,"[""""]"
StatementOnMattersOnWhichAuditorReportsByException,6,6,non_numeric,,duration,100.00,"[""In the light of the knowledge and understanding of the company and its environment obtained in the course of the audit,…"",""We have nothing to report in respect of the following matters where the Companies Act 2006 requires us to report to you…"",""In the light of the knowledge and understanding of the Company and its environment obtained in the course of the audit,…""]"
TotalOperatingLeasePayments,6,3,numeric,GBP,duration,0.00,"[""22,387"",""5,328"",""151,636""]"
BalancesAmountsOwedByRelatedParties,5,3,numeric,GBP,instant,0.00,"[""59,563"",""275,000"",""86,816""]"
CashCashEquivalents,5,3,numeric,GBP,instant,0.00,"[""116,285"",""129,271"",""88,299""]"
DateResignation,5,3,non_numeric,,instant,100.00,"[""8 December 2020"",""13 November 2020"",""29 October 2021""]"
DeferredTaxAssets,5,1,numeric,GBP,instant,0.00,"[""157,955"",""26,487"",""119,474""]"
DerivativesPolicy,5,5,non_numeric,,duration,100.00,"[""Derivatives are initially recognised at fair value at the date a derivative contract is entered into and are subsequent…""]"
NameAssociate,5,2,non_numeric,,duration,100.00,"[""Wisdom Agricultural Limited"",""Wisdom Agricultural (Investments) Limited"",""SKYLINE CITY PROPERTIES LTD""]"
NameIndividualAuditor,5,5,non_numeric,,duration,100.00,"[""J N Flanagan ATT (Fellow)"",""M B A Accountants"",""Sau Kee Li CTA ATT""]"
OtherRemainingInvestments,5,2,numeric,GBP,instant,0.00,"[""17,000"",""100""]"
ProfitLossOnOrdinaryActivitiesAfterTax,5,4,numeric,GBP,duration,0.00,"[""16,689"",""4,283"",""0""]"
StatementAuditorsResponsibilitiesRelatingToOtherInformation,5,5,non_numeric,,duration,100.00,"[""The other information comprises the information included in the annual report other than the financial statements and o…"",""In connection with our audit of the financial statements, our responsibility is to read the other information and, in d…"",""The other information comprises the information included in the annual report, other than the financial statements and …""]"
TransfersToFromRetainedEarningsIncreaseDecreaseInEquity,5,3,numeric,GBP,duration,0.00,"[""436,751"",""0"",""55,358""]"
AdditionalProvisionsIncreaseFromNewProvisionsRecognised,4,4,numeric,GBP,duration,0.00,"[""591"",""2,307"",""593""]"
AmountsOwedToOtherRelatedPartiesOtherThanDirectors,4,2,numeric,GBP,instant,0.00,"[""780"",""319,104"",""241,624""]"
BasisForOpinionAuditorsOnEntity,4,4,non_numeric,,duration,100.00,"[""We conducted our audit in accordance with International Standards on Auditing (UK) (ISAs (UK)) and applicable law. Our …""]"
CharityFunds,4,2,numeric,GBP,instant,0.00,"[""10,459"",""18,653"",""24,963""]"
CompanyContributionsToDefinedBenefitPlansDirectors,4,2,numeric,GBP,duration,0.00,"[""20,946"",""18,045"",""5,838""]"
DateEndReportingPeriodAssociateIfDifferentFromEntity,4,1,non_numeric,,instant,100.00,"[""30.6.20"",""30.6.19""]"
DecreaseInLoansOwedByRelatedPartiesDueToLoansRepaid,4,2,numeric,GBP,duration,0.00,"[""9,794"",""1,100,161""]"
DepreciationImpairmentExpensePropertyPlantEquipment,4,2,numeric,GBP,duration,0.00,"[""114,659"",""75,386"",""450,727""]"
DirectorRemunerationBenefitsIncludingPaymentsToThirdParties,4,2,numeric,GBP,duration,0.00,"[""238,015"",""213,158"",""217,337""]"
DistributionCosts,4,3,numeric,GBP,duration,0.00,"[""102,098"",""103,476"",""0""]"
DividendsPaidOnSharesFinal,4,2,numeric,GBP,duration,0.00,"[""143,921"",""131,321"",""2,000""]"
EmploymentDisabledPersonsPolicy,4,4,non_numeric,,duration,100.00,"[""The company policy is to employ disabled people wherever practical as the Company works on construction sites and all i…"",""N/a"",""N/A""]"
FinancialAssets,4,2,numeric,GBP,instant,0.00,"[""5"",""17,000""]"
GainLossInCashFlowsFromChangeInInventories,4,2,numeric,GBP,duration,0.00,"[""65,310"",""64,625"",""10,311""]"
GainLossOnNon-financingActivitiesDueToForeignExchangeDifferencesRecognisedInProfitOrLoss,4,2,numeric,GBP,duration,0.00,"[""4,682"",""1,652"",""3,513""]"
GainLossOnRevaluationPropertyPlantEquipmentBeforeTaxInOtherComprehensiveIncome,4,4,numeric,GBP,duration,0.00,"[""0"",""14,500""]"
GovernmentGrantIncome,4,2,numeric,GBP,duration,0.00,"[""55,584"",""0"",""1,026,204""]"
IncomeTaxesPaidRefundClassifiedAsOperatingActivities,4,2,numeric,GBP,duration,0.00,"[""12,112"",""221,999"",""20,448""]"
IncreaseDecreaseFromFairValueAdjustmentInvestmentPropertyFairValueModel,4,4,numeric,GBP,duration,0.00,"[""745,410"",""59,000"",""100,000""]"
IncreaseInLoansOwedToRelatedPartiesDueToLoansAdvanced,4,1,numeric,GBP,duration,0.00,"[""22,545"",""1,524""]"
InterestExpenseOnBankOverdraftsBankLoansSimilarBorrowings,4,2,numeric,GBP,duration,0.00,"[""3,674"",""6,714"",""31,151""]"
InterestExpenseOnObligationsUnderFinanceLeasesHirePurchaseContracts,4,2,numeric,GBP,duration,0.00,"[""27,435"",""33,150"",""73,548""]"
LoansToJointVentures,4,1,numeric,GBP,instant,0.00,"[""409,521"",""46,517"",""14,707""]"
MoreThan200SubsidiariesTruefalse,4,4,non_numeric,,duration,100.00,"[""false""]"
NetAssetsLiabilitiesAssociates,4,1,numeric,GBP,instant,0.00,"[""507,319"",""513,821"",""16,849""]"
NetInterestPaidReceivedClassifiedAsOperatingActivities,4,2,numeric,GBP,duration,0.00,"[""3,674"",""6,714"",""73,548""]"
OtherLoansClassifiedUnderInvestments,4,2,numeric,GBP,instant,0.00,"[""0"",""602,319""]"
OtherPayablesAccruedExpenses,4,2,numeric,GBP,instant,0.00,"[""546,905"",""626,267"",""2,317""]"
PensionCostsDefinedContributionPlan,4,2,numeric,GBP,duration,0.00,"[""61,177"",""80,630"",""8,441""]"
ProfitLossSubsidiaries,4,2,numeric,GBP,duration,50.00,"[""434,199"",""478,455"",""-""]"
RawMaterials,4,2,numeric,GBP,instant,0.00,"[""12,000"",""10,000"",""4,550""]"
RevenueFromSaleGoods,4,2,numeric,GBP,duration,0.00,"[""1,571,276"",""1,801,124"",""13,346,752""]"
SalesMarketingDistributionAverageNumberEmployees,4,2,numeric,pure,duration,0.00,"[""1""]"
SellingAverageNumberEmployees,4,2,numeric,pure,duration,0.00,"[""9"",""13"",""2""]"
TaxIncreaseDecreaseFromEffectExpensesNotDeductibleInDeterminingTaxableProfitOrLoss,4,2,numeric,GBP,duration,0.00,"[""190"",""1,675"",""6,312""]"
AmountsOwedByAssociates,3,2,numeric,GBP,instant,33.33,"[""4,650"",""9,500"",""-""]"
ApplicableTaxRate,3,2,numeric,pure,duration,0.00,"[""19""]"
AssociateNotAccountedForUsingEquityMethodTruefalse,3,2,non_numeric,,duration,100.00,"[""false""]"
DescriptionWhyAnEntityWithSubsidiariesHasNotPreparedGroupAccounts,3,3,non_numeric,,duration,100.00,"[""The company has taken advantage of the exemption in section 398 of the Companies Act 2006 from the requirement to prepa…"",""The company has taken advantage of the option not to prepare consolidated financial statements contained in Section 398…""]"
DividendDeclaredPayable,3,2,numeric,GBP,instant,0.00,"[""37,000"",""2,000""]"
GeneralDescriptionGuaranteesTheirTermsDirectors,3,3,non_numeric,,duration,100.00,"[""1. CHRISTIANAHJONES LTD. is a private company, limited by shares, incorporated in England & Wales, registration number …"",""The company had no financial commitments, guarantees and contingencies requiring separate disclosure at the year ended …"",""The Company's net assets less liabilities were negative by £1,527 at the balance sheet date. The business trading has b…""]"
GeneralDescriptionLoansOwedByRelatedPartiesIncludingTermsGuaranteesReceived,3,3,non_numeric,,duration,100.00,"["""",""Loan to directors are on a non fixed repayment basis with 0% interest charged."",""Of the loans detailed above £700,000 has repayment term of 10 years and is interest free. This has been recognised at a…""]"
GeneralDescriptionPriorPeriodPolicyChangeAdjustmentsTheirEffect,3,3,non_numeric,,duration,100.00,"["""",""Some expenses had been stated as capitalised fixed assets and associated amortisation in error, by the previous account…"",""Certain figures relating to the previous year have been reclassified for comparative purposes where necessary. The chan…""]"
IncreaseDecreaseDueToTransfersBetweenClassesPropertyPlantEquipment,3,3,numeric,GBP,duration,33.33,"[""0"",""-""]"
IncreaseFromImpairmentLossRecognisedInProfitOrLossPropertyPlantEquipment,3,1,numeric,GBP,duration,0.00,"[""159,612"",""0""]"
InvestmentEntitiesPolicy,3,3,non_numeric,,duration,100.00,"[""Investments in equity shares which are publicly traded or where the fair value can be measured reliably are initially m…"",""Investments in equity shares which are not publicly traded and where fair value cannot be measured reliably are measure…""]"
InvestmentPropertyFree-textComment,3,3,non_numeric,,duration,100.00,"[""Investment property is included at the directors opinion of the market value. This valuation is based on the directors'…"",""In the opinion of the director the value of the investment property does not differ materially from cost."",""The directors consider the market value of the investment property not to be materially different from the value stated…""]"
InvestmentsInJointVentures,3,1,numeric,GBP,instant,0.00,"[""100""]"
NameEntityLawyersOrLegalAdvisers,3,3,non_numeric,,duration,100.00,"[""Clydesdale Bank plc"",""R S Porter & Co Limited"",""Rankin & Aitken""]"
NameOrLocationOfficePerformingAudit,3,3,non_numeric,,duration,100.00,"[""104 High Street"",""Cheltenham"",""EC1Y 2AB""]"
OutstandingPre-paidContributionsToDefinedContributionPlanReportingDate,3,2,numeric,GBP,instant,0.00,"[""9,253"",""14,245"",""1,241""]"
PaymentsOnAccountInventories,3,2,numeric,GBP,instant,33.33,"[""0"",""-"",""2,400""]"
PoliticalDonationsFree-textComment,3,3,non_numeric,,duration,100.00,"[""N/a"",""N/A"",""The company made no political or charitable donations in the period.""]"
PrincipalPlaceBusinessSubsidiary,3,2,non_numeric,,duration,100.00,"[""Dormant"",""85 Stafford Street, Willenhall, West Midlands WV13 1RT""]"
RevaluationPropertyPlantEquipmentFree-textComment,3,3,non_numeric,,duration,100.00,"["""",""0""]"
